id,item_name,price
1001,Điện Thoại Vsmart Joy 4 ,3290000
1002,Điện thoại Xiaomi POCO M3,3990000
1003,Điện thoại Vivo Y12s,4290000
1004,Điện Thoại Vsmart Star 5,2690000
1005,Điện Thoại Samsung Galaxy A21s ,4690000
2001,Tủ lạnh Samsung Inverter 208 lít RT19M300BGS/SV,6390000
2002,Máy lạnh Sharp Inverter 1 HP AH-X9XEW,10000000
2003,Smart Tivi Samsung 4K 55 inch UA55TU8500,19900000
2004,Tủ Lạnh Aqua 130 lít AQR-T150FA-BS,4090000
2005,Smart Tivi LG 4K 49 inch 49SM8100PTA,20900000
3001,Tai Nghe Bluetooth Apple AirPods Pro True Wireless - MWP22 - Hàng Chính Hãng VN/A,8500000
3002,Chuột Không Dây Logitech M331 Silent ,399000
3003,Tai Nghe Bluetooth Nhét Tai Apple AirPods 2 True Wireless - Hàng Chính Hãng VN/A,5490000
3004,Thẻ Nhớ Micro SD Samsung Evo Plus U1 32GB Class 10 - 95MB/s (Kèm Adapter) ,170000
3005,Đồng Hồ Thông Minh Apple Watch SE GPS Only Aluminum Case With Sport Band (Viền Nhôm & Dây Cao Su) - Hàng Chính Hãng VN/A,8990000
4001,Dầu Gội Rejoice Siêu Mượt - 900ML,177000
4002,Kem Dưỡng Làm Dịu Kích Ứng Và Phục Hồi Da La Roche-Posay Cicaplast Baume B5 (40ml),350000
4003,Nước Tẩy Trang Làm Sạch Sâu Cho Da Nhạy Cảm La Roche-Posay Micellar Water Ultra Sensitive Skin 400ml,445000
4004,Kem chống nắng dưỡng da dạng sữa bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 60ml,685000
4005,Sữa rửa mặt làm sạch từ trà xanh đảo Jeju Innisfree Green Tea Foam Cleanser 150ml - NEW,220000
